"category","date_in","date_in_posix","clerk_id_in","type_code","product_scancode","customer_no_sold","p_description"
3,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1736",NA,"sox"
3,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1720",NA,"sox"
3,"01/16/2004 12:00:00 AM","1074240000","ERI",2,"wd1702",NA,"sandal or shoe"
1,"01/14/2004 12:00:00 AM","1074067200","KAY",2,"wd304",NA,"pj,  night gowns,  robes"
2,"01/15/2004 12:00:00 AM","1074153600","DIA",2,"wd5843",NA,"toy,  puzzle or game"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd625",NA,"cotton one piece outfit or set"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd301",NA,"pants"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd278",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd491",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd550",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd517",NA,"pj,  night gowns,  robes"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd332",NA,"cotton one piece outfit or set"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd279",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd263",NA,"shirt"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd561",NA,"cotton one piece outfit or set"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd634",NA,"cotton one piece outfit or set"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd313",NA,"2 or 3 piece sets"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd626",NA,"pants"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd546",NA,"pj,  night gowns,  robes"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd631",NA,"overalls"
1,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd558",NA,"pants"
3,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd314",NA,"tights"
3,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd462",NA,"sandal or shoe"
2,"01/15/2004 12:00:00 AM","1074153600","LEA",2,"wd5841",NA,"toy,  puzzle or game"
